attitude,planning,parents,goodval,getto,age,educ,income,cnty
6,7,5,7,7,4,4,4,Cook
5,4,4,4,4,10,5,3,Cook
6,6,5,2,2,10,4,2,Cook
6,6,4,3,2,8,6,1,Cook
7,7,4,3,7,12,4,1,Cook
7,7,2,6,6,4,3,3,Cook
6,6,7,5,5,3,6,6,Chicago
7,6,7,7,7,5,8,10,Cook
7,6,7,1,5,2,6,1,Chicago
5,6,5,3,6,10,5,4,Cook
4,6,5,2,3,4,6,5,DuPage
5,6,4,2,5,5,6,5,Cook
7,7,4,7,7,8,5,7,Cook
5,4,4,1,4,11,5,3,DuPage
6,7,6,2,1,3,6,3,Cook
4,4,4,4,6,5,5,5,Cook
7,7,4,4,1,6,3,9,Cook
2,4,4,4,4,2,3,1,Cook
4,4,5,2,4,6,5,4,Cook
4,6,4,4,6,12,6,3,Cook
6,5,6,6,6,2,4,2,Cook
6,7,4,1,1,12,2,2,Cook
7,7,7,3,5,1,5,3,Other
3,6,2,4,2,5,5,4,Cook
4,4,4,4,4,11,1,2,Cook
7,7,4,7,7,11,3,1,Cook
6,7,7,2,2,1,2,1,Cook
7,7,6,7,6,8,2,2,Cook
6,7,6,3,7,6,6,9,Cook
1,7,7,4,4,2,5,10,Cook
5,5,6,2,7,4,5,3,Chicago
7,5,7,7,7,11,4,1,Cook
7,2,7,3,7,3,6,4,Chicago
6,6,4,1,5,7,5,4,Cook
7,3,4,7,3,4,5,7,Cook
5,6,5,4,4,3,6,7,Other
6,4,4,4,3,3,8,6,Cook
4,4,4,4,4,11,3,4,Cook
6,7,7,7,7,7,5,7,Other
3,7,7,4,4,4,8,10,Chicago
6,7,6,2,6,7,8,10,Cook
6,7,1,1,7,6,6,3,Chicago
6,6,4,2,2,4,5,4,Other
5,5,4,3,5,5,6,1,Cook
7,7,4,3,3,7,5,4,Cook
4,4,4,4,4,9,1,1,Chicago
7,6,6,7,2,10,5,3,Other
6,7,4,4,4,6,3,3,Other
5,5,5,3,5,12,3,1,Other
4,4,4,4,4,5,6,4,Cook
5,6,2,4,1,6,5,12,Other
7,7,4,4,1,11,8,2,Other
6,7,3,6,3,7,6,5,Cook
4,4,4,4,4,9,7,9,Cook
5,2,5,1,1,10,5,3,Other
4,6,4,6,5,9,7,12,Cook
7,7,4,7,1,12,3,1,Lake
6,6,4,2,3,11,6,3,Cook
6,7,4,1,1,11,7,7,Other
7,7,4,2,1,6,8,3,Cook
5,2,3,3,7,4,5,3,Other
4,4,4,4,4,9,3,2,Cook
5,6,4,2,2,4,4,5,Other
4,4,4,1,4,12,2,2,Other
4,2,4,4,2,11,3,1,Cook
5,7,4,2,4,6,6,6,Cook
6,7,5,4,4,7,5,7,Other
6,7,7,4,4,5,6,3,Lake
4,4,4,6,4,12,3,1,Cook
4,6,6,3,5,8,8,8,Cook
5,7,1,2,7,9,5,7,Other
2,7,1,3,7,6,7,8,Cook
6,5,7,4,7,7,4,4,Cook
6,7,4,2,2,4,6,5,Cook
5,5,6,3,2,5,4,3,Cook
3,2,4,1,1,11,6,3,Other
6,7,6,6,7,12,6,8,Lake
7,7,7,7,7,3,7,1,Chicago
6,7,7,4,6,11,5,2,Cook
5,6,4,3,5,6,6,7,Other
6,2,6,6,6,10,4,3,Other
7,7,7,7,7,6,5,2,Lake
4,6,7,5,4,5,5,1,Lake
4,4,4,4,4,5,5,3,Other
6,6,6,6,5,7,8,6,Cook
4,5,5,6,6,10,8,12,Cook
5,5,5,3,4,3,6,8,Other
7,6,3,5,4,10,5,4,DuPage
7,7,3,1,3,9,5,4,Lake
6,6,7,3,4,10,6,10,Lake
5,7,1,1,1,7,7,11,Lake
2,4,4,4,4,8,5,8,Lake
5,7,4,5,2,4,5,1,Cook
6,4,1,4,4,4,2,2,Other
5,5,2,2,6,6,7,12,Lake
5,6,6,4,4,5,8,3,Lake
6,7,6,2,5,3,6,4,Chicago
6,6,4,6,4,4,5,7,Cook
6,7,6,1,1,8,5,4,Cook
6,4,6,5,3,1,4,5,Cook
4,4,4,4,3,7,5,5,Other
6,4,4,4,7,11,5,3,Cook
7,7,1,1,1,9,5,3,Cook
6,6,4,2,2,6,7,7,Other
4,4,4,4,4,5,4,7,Cook
6,7,4,1,1,12,5,1,Cook
6,7,7,2,6,7,3,4,Other
4,4,4,4,4,4,6,3,Cook
5,3,4,4,3,11,8,3,DuPage
3,2,3,4,6,8,8,10,Cook
6,5,6,2,6,3,3,4,DuPage
5,4,6,4,6,5,8,12,Lake
4,6,5,2,2,4,7,6,DuPage
7,1,7,7,7,9,4,1,Other
7,7,7,1,1,12,6,3,Other
5,7,4,1,1,9,8,8,Other
4,6,5,3,4,6,8,10,DuPage
5,6,4,3,4,8,5,5,Cook
2,7,7,1,1,2,5,1,DuPage
6,5,2,2,5,10,8,11,Cook
2,6,4,1,1,12,6,12,Chicago
6,5,4,1,7,10,8,7,Chicago
5,4,4,4,1,12,3,2,Other
5,6,4,2,3,5,7,10,Other
4,1,1,1,1,7,4,5,DuPage
6,7,7,1,1,8,5,1,Other
6,7,6,6,2,4,6,8,DuPage
5,6,4,3,2,4,7,3,Cook
7,7,7,7,7,9,8,3,Cook
6,5,4,4,5,6,6,7,Other
5,4,4,1,6,8,6,10,Cook
5,5,4,1,4,10,7,9,Cook
5,7,4,3,2,7,4,11,Other
4,4,4,3,4,12,2,1,Cook
7,6,4,7,7,10,3,7,Cook
4,5,4,4,4,7,5,7,Cook
5,2,4,3,4,7,5,6,Cook
5,5,5,5,5,8,6,3,Cook
6,1,1,1,7,8,7,1,Cook
6,7,6,3,3,5,5,3,Other
6,6,6,3,3,4,3,4,Cook
4,3,4,2,3,10,5,4,Cook
5,2,4,3,2,9,3,3,Other
4,4,4,4,4,11,5,3,Cook
5,4,2,4,4,NA,3,2,Chicago
5,6,6,4,7,3,8,10,Lake
4,4,4,4,4,3,5,2,Other
4,4,4,4,4,5,3,1,Cook
5,7,5,1,6,4,8,4,Other
7,6,7,4,2,NA,8,12,Cook
7,7,7,1,2,12,5,1,Cook
3,4,3,4,4,6,3,5,Cook
7,7,4,6,3,6,8,6,Other
6,1,4,2,2,9,8,8,Lake
5,6,4,4,4,11,3,3,Cook
5,5,4,3,4,2,6,5,DuPage
7,7,7,2,3,11,NA,1,DuPage
7,7,7,1,1,10,7,3,DuPage
3,7,7,4,1,1,2,1,Other
5,7,6,1,1,6,3,5,Cook
7,6,6,2,2,8,5,5,DuPage
6,4,5,2,3,9,5,6,DuPage
4,6,6,1,4,3,3,3,DuPage
7,4,5,3,7,4,6,12,Chicago
5,6,4,1,3,12,6,3,Cook
4,2,2,2,2,NA,8,10,Other
7,7,4,7,7,9,6,2,DuPage
4,3,4,1,3,11,2,2,DuPage
5,6,4,4,4,4,6,6,DuPage
4,5,4,1,4,7,3,2,Cook
6,7,6,5,6,5,6,5,Chicago
7,6,4,7,7,10,5,3,Cook
4,4,4,4,4,10,4,5,Cook
7,6,3,3,7,6,6,10,Cook
6,6,3,2,3,6,5,8,Lake
6,6,4,4,6,10,3,5,Cook
6,5,6,3,6,8,6,12,Cook
7,6,4,6,6,8,5,4,Cook
6,7,4,2,5,3,7,10,Cook
5,7,2,3,4,10,3,7,Cook
5,7,4,1,6,7,8,10,Cook
5,5,4,5,5,9,5,11,Other
4,4,4,4,4,9,8,9,Other
6,6,6,6,6,10,5,2,Other
7,7,7,1,2,5,3,4,Cook
7,7,7,1,4,6,3,10,Other
6,4,6,6,5,7,5,10,DuPage
3,1,4,6,1,7,2,7,Cook
5,7,4,2,4,4,6,8,Other
6,6,4,2,3,11,3,3,Cook
4,3,4,4,6,7,3,6,Cook
6,2,5,4,5,10,5,1,Cook
4,4,4,4,4,11,6,4,Cook
4,7,4,4,4,6,5,3,Other
6,6,7,4,5,7,4,3,Cook
3,4,4,4,4,10,4,4,Other
5,7,5,5,4,7,5,9,Cook
6,7,7,4,4,3,3,4,Lake
4,4,4,5,4,7,4,11,Other
6,6,6,2,6,6,6,7,Other
5,7,6,4,3,5,8,9,Cook
6,7,7,2,4,4,4,4,Cook
4,2,3,1,3,7,3,1,DuPage
4,4,4,4,2,5,5,5,Other
5,1,7,3,4,1,4,2,Other
5,7,5,3,4,10,6,10,Cook
5,5,4,4,7,3,6,4,Cook
6,7,4,3,1,7,5,7,Lake
6,7,7,2,2,4,8,8,DuPage
7,7,1,1,1,5,5,7,Cook
4,4,4,4,4,12,4,1,Cook
7,7,7,7,7,8,3,1,DuPage
5,2,2,2,5,6,4,3,Other
5,6,6,2,4,7,6,10,Cook
4,5,4,4,4,11,6,7,Cook
5,3,2,2,4,5,6,4,Other
6,7,7,2,3,7,8,3,Other
4,3,4,3,5,5,6,5,DuPage
6,7,4,2,2,8,8,3,Other
4,4,4,4,4,5,5,10,Cook
6,5,4,6,5,9,7,5,Cook
7,4,6,3,1,6,5,2,Lake
7,5,7,6,1,12,3,2,Cook
6,7,6,2,5,6,6,6,Cook
5,2,4,4,5,12,6,6,Lake
7,7,7,2,6,3,6,2,Cook
7,6,6,3,4,4,5,7,Other
5,6,3,2,3,5,4,7,Other
4,4,4,3,4,6,7,4,Lake
6,4,7,2,4,6,5,5,Other
6,6,4,4,4,5,5,1,Other
7,6,6,7,6,8,8,6,Other
5,7,4,1,2,5,5,6,Cook
6,7,7,1,1,8,8,4,Cook
6,6,4,6,3,6,5,10,Lake
6,6,5,1,2,9,6,6,Cook
1,3,1,6,2,2,5,6,Cook
6,6,6,2,5,8,5,4,Cook
5,7,6,4,2,6,8,12,Lake
6,7,4,5,3,12,6,3,Cook
5,7,2,1,2,8,5,2,Other
5,6,4,5,3,12,7,7,Cook
5,5,7,5,5,4,6,4,Cook
5,6,2,5,2,6,5,8,Cook
2,4,4,4,1,5,5,4,Cook
5,4,5,3,4,6,8,2,Cook
7,7,7,6,4,2,6,1,Cook
7,7,7,4,6,8,8,10,Cook
4,4,4,4,4,2,6,8,Cook
4,6,6,6,6,9,3,4,Other
5,5,5,3,4,12,5,3,Cook
7,6,4,5,6,12,5,2,Cook
4,6,4,4,2,9,4,5,Other
6,6,4,4,4,6,7,4,Cook
4,4,4,4,4,12,4,3,Cook
5,5,4,2,2,5,5,7,Other
4,4,4,3,3,5,5,3,Other
5,4,4,5,3,4,6,6,Other
6,6,4,4,1,5,4,3,Cook
4,6,3,4,6,11,5,2,Other
5,6,6,4,4,4,5,2,Other
4,7,1,1,1,5,7,4,Other
3,7,5,1,1,4,7,5,Other
5,3,6,5,4,5,5,3,DuPage
6,4,4,3,4,11,2,1,Other
1,6,1,1,6,8,4,8,Cook
4,7,7,4,4,1,4,5,DuPage
6,6,6,4,6,5,6,6,Lake
6,7,7,3,7,11,6,3,DuPage
4,4,4,4,4,3,6,2,DuPage
5,4,4,3,4,6,4,7,Other
2,3,1,2,3,4,3,3,Other
4,7,4,1,1,6,4,1,Other
4,4,4,4,4,7,5,6,Cook
5,7,4,3,3,3,3,10,DuPage
5,6,6,2,2,5,6,5,DuPage
5,7,4,4,6,10,5,1,Other
4,4,4,4,4,11,3,2,Other
5,7,4,1,2,10,3,5,Cook
5,5,4,4,4,7,3,2,Other
6,7,7,4,4,2,5,3,Lake
6,7,6,4,4,9,8,5,Other
6,6,5,5,1,3,5,5,Other
5,3,4,5,5,9,4,5,Other
4,4,4,4,4,4,5,5,Lake
4,4,4,4,4,10,5,2,Cook
5,6,5,2,4,3,6,4,Cook
5,5,7,4,5,12,8,4,Cook
5,1,4,4,4,8,5,4,Other
4,4,4,4,4,12,3,2,Cook
3,7,4,1,7,3,5,2,Cook
5,6,4,5,4,8,6,12,DuPage
5,6,4,4,6,2,5,2,DuPage
5,7,7,1,1,4,5,5,DuPage
5,5,2,1,3,5,3,7,Cook
6,6,4,4,5,6,5,3,Cook
6,5,1,6,6,8,5,5,Cook
5,4,4,4,4,8,3,6,Lake
6,5,7,2,2,6,8,6,Other
2,4,1,1,1,7,8,9,Other
5,3,6,5,5,11,6,10,Other
6,6,7,4,6,4,8,3,Chicago
7,6,5,2,6,4,7,8,Lake
5,1,4,4,6,5,3,2,Other
7,7,4,2,2,7,6,6,Other
7,7,1,7,7,7,8,3,Chicago
6,6,6,4,6,9,6,12,Cook
4,6,4,2,2,11,3,2,Other
4,5,1,4,7,5,7,3,Cook
6,7,7,2,3,4,5,3,Cook
5,7,3,3,3,11,2,2,Other
7,6,5,2,7,9,8,8,Other
7,7,5,1,3,2,6,2,Lake
5,4,6,4,6,3,6,2,Cook
6,7,7,4,4,4,8,8,Cook
6,7,6,2,1,3,6,10,DuPage
4,4,4,4,6,7,8,6,DuPage
7,5,7,5,5,7,3,6,DuPage
6,6,4,2,2,NA,NA,1,Cook
6,6,4,3,3,12,5,2,Cook
4,4,4,4,4,5,8,12,Lake
6,6,4,3,6,10,8,5,Cook
5,2,5,5,5,7,4,5,Cook
7,7,7,7,3,11,6,8,Other
5,5,5,3,4,7,4,7,Cook
6,6,4,4,6,10,3,4,Cook
4,5,5,3,7,4,5,9,Other
5,7,4,1,4,6,5,5,Other
4,5,4,4,4,2,5,7,Cook
4,7,4,4,5,8,5,5,Cook
6,6,5,6,3,11,6,4,Lake
7,7,7,7,7,12,5,3,Cook
7,7,7,2,2,1,2,1,Cook
5,7,4,4,4,11,6,12,Cook
6,6,4,1,3,11,4,1,Lake
6,7,4,2,2,5,7,9,Cook
3,5,4,3,4,10,6,6,Cook
4,3,4,2,1,8,5,9,Cook
7,7,7,7,2,NA,6,5,Cook
5,7,7,1,1,9,6,6,Other
6,5,4,3,4,9,5,4,Cook
5,6,4,3,4,4,5,12,Cook
4,4,4,4,4,12,5,3,Other
5,6,6,4,6,4,6,10,Lake
5,6,6,3,3,6,3,7,Other
7,7,7,6,6,5,6,2,Cook
3,7,4,7,3,4,6,1,Cook
6,2,2,2,3,12,3,3,DuPage
5,6,4,3,6,11,5,10,Cook
5,3,5,4,4,7,6,5,Other
6,2,6,5,7,4,6,4,Cook
6,6,7,6,7,4,5,7,Cook
5,2,4,5,7,8,4,4,Other
5,5,4,4,4,12,7,7,Cook
5,6,6,6,6,12,6,5,Cook
6,4,4,1,1,9,7,2,Other
6,5,4,5,4,4,6,3,DuPage
7,7,7,4,1,9,3,3,Other
2,4,4,4,4,4,3,3,Other
4,5,3,3,4,9,4,3,Cook
4,2,2,2,2,5,5,10,Other
5,3,5,1,6,4,5,5,DuPage
6,7,4,7,1,9,NA,1,Other
4,7,4,3,3,5,3,4,Other
4,4,4,4,4,12,3,1,Cook
6,7,5,6,6,11,8,12,Cook
5,5,4,4,4,9,6,12,Cook
5,5,4,3,4,12,3,3,Other
4,5,4,4,5,9,6,10,Other
5,6,4,2,3,3,6,10,Cook
4,4,4,4,4,3,5,8,Cook
5,7,6,2,2,7,8,3,Cook
6,7,7,1,1,3,6,3,Cook
7,1,4,7,4,6,4,6,Cook
4,4,4,4,4,6,3,3,Cook
7,7,2,5,7,7,7,4,Other
5,4,4,3,5,5,5,8,Other
2,6,3,2,2,5,8,7,Cook
6,6,2,3,2,3,5,2,Cook
4,6,4,1,4,12,7,5,Cook
5,6,4,6,6,11,2,1,Other
7,7,3,1,3,6,6,5,Cook
4,7,4,5,4,7,5,3,Cook
4,4,4,5,4,7,3,3,Other
1,7,1,1,1,4,3,6,Other
7,6,4,5,7,4,6,5,Other
6,3,4,1,7,1,5,1,Other
5,5,4,4,4,7,8,4,Other
4,4,4,4,4,11,6,4,Other
4,4,4,4,4,7,3,4,Other
6,6,4,4,6,7,5,5,Other
4,7,7,7,1,12,2,1,Other
5,7,4,4,1,5,3,3,Other
7,6,7,4,7,3,7,10,Chicago
6,7,2,2,3,4,3,5,Other
4,2,7,1,4,12,3,2,Cook
4,4,4,4,4,1,2,6,DuPage
3,7,4,4,3,4,8,12,Cook
6,7,4,2,5,4,5,3,Other
6,6,7,4,7,3,6,2,Chicago
7,7,7,2,2,10,8,5,Other
6,7,1,4,1,8,3,4,Other
7,4,4,2,6,11,5,2,DuPage
7,7,7,2,5,5,3,4,Cook
1,1,1,1,7,NA,NA,1,Chicago
6,7,7,1,4,8,5,2,Cook
5,6,6,5,5,5,5,3,DuPage
4,4,4,4,4,5,4,5,Other
7,7,5,3,3,10,8,9,Other
7,5,5,7,6,6,6,7,Cook
1,1,1,1,7,2,2,3,Other
4,4,4,4,4,4,5,3,DuPage
6,6,4,2,3,11,6,5,Cook
4,2,2,1,2,2,5,8,Lake
4,4,4,4,4,10,4,3,Other
6,6,4,6,3,10,3,3,Cook
5,5,6,4,4,5,7,11,Lake
6,7,4,2,3,4,6,6,Cook
3,7,3,2,2,7,5,5,Cook
6,6,6,2,6,11,3,1,Cook
6,7,5,4,3,12,7,11,Cook
6,7,5,1,1,5,6,4,DuPage
6,7,7,1,2,4,5,4,Other
5,4,5,3,5,9,6,9,Cook
7,7,7,7,7,10,6,12,DuPage
6,7,6,6,7,4,8,5,Cook
4,4,4,1,4,8,3,4,Other
7,7,7,6,4,12,6,1,Cook
5,7,2,2,7,5,8,7,Cook
6,7,7,6,6,10,5,5,Other
5,5,4,3,4,12,2,2,Other
7,7,7,2,2,5,6,4,DuPage
6,4,6,4,2,6,5,2,Chicago
7,5,7,1,6,6,5,5,DuPage
7,6,4,6,4,5,6,3,Cook
6,5,6,3,3,1,5,4,DuPage
6,7,6,2,3,6,5,6,Other
5,7,4,1,1,6,5,5,Other
7,7,1,6,6,5,6,6,Cook
4,1,1,1,1,4,3,4,Other
7,6,7,2,6,10,4,1,Other
4,7,1,6,1,3,3,5,Cook
5,5,6,5,5,5,5,5,Cook
5,6,4,3,3,5,6,8,Cook
5,5,4,6,5,11,8,4,Other
4,3,4,3,4,8,8,2,Other
3,4,4,4,4,3,3,4,Other
4,4,4,4,4,3,3,2,Other
5,5,4,5,2,3,8,2,Cook
4,6,6,3,2,12,3,2,Cook
6,7,6,3,2,5,7,8,Other
6,2,5,4,3,5,8,10,Cook
7,7,7,4,4,5,3,4,Other
6,7,7,5,7,4,2,4,DuPage
5,6,4,4,4,12,5,4,Other
5,5,4,4,4,6,8,5,Cook
4,4,4,4,4,5,4,5,Other
5,6,7,6,6,7,7,2,Cook
4,4,4,4,4,9,3,4,Cook
6,7,4,2,3,3,5,6,DuPage
6,6,4,2,2,10,8,8,Other
5,2,6,4,4,11,3,2,Other
7,2,4,3,6,9,5,4,Cook
7,7,4,1,1,6,3,1,Other
4,7,4,4,4,9,5,6,Other
5,6,3,2,4,6,5,2,Cook
4,5,2,4,6,10,6,8,DuPage
5,6,4,5,4,1,5,10,Cook
6,6,4,3,2,6,7,8,Cook
5,6,6,2,3,12,5,3,Cook
6,7,1,4,4,6,7,10,Cook
6,1,4,7,4,12,NA,1,Cook
4,4,4,4,4,2,3,2,DuPage
7,7,7,1,3,12,3,2,Cook
4,4,4,4,1,3,3,3,Other
6,6,4,1,1,7,8,6,DuPage
5,6,5,1,1,11,6,1,Cook
5,6,4,3,2,6,6,12,Cook
5,3,4,3,4,10,5,2,Cook
2,4,6,4,4,2,4,7,Other
6,3,7,3,2,3,5,6,Cook
4,7,4,1,4,6,5,2,DuPage
4,6,4,4,4,3,8,3,Cook
6,3,4,6,6,12,7,12,DuPage
4,4,4,4,4,4,6,4,Cook
6,6,2,3,3,8,5,6,Other
5,7,4,3,5,8,1,3,Cook
5,1,6,4,7,7,8,6,Other
7,7,4,2,2,3,3,5,Other
4,6,6,4,5,4,6,1,Other
7,6,7,6,6,4,4,5,Cook
5,4,4,2,2,9,6,7,Cook
4,5,5,5,5,9,3,5,DuPage
6,6,7,2,3,12,7,4,Cook
5,4,4,5,5,10,5,3,Cook
6,7,4,6,6,11,5,4,Chicago
5,7,4,3,5,5,5,6,Cook
6,7,7,3,5,5,3,3,Cook
7,4,7,3,4,1,3,10,Cook
5,6,4,2,5,12,5,5,Cook
7,6,7,7,7,11,5,6,Cook
5,5,4,3,5,12,3,2,Other
6,6,7,3,1,3,5,7,DuPage
5,2,2,4,4,10,3,1,Other
6,7,6,4,2,4,8,3,Cook
5,5,6,1,3,3,4,2,Cook
5,4,6,5,6,5,5,9,Cook
4,4,4,4,4,5,5,5,Cook
7,4,7,3,2,6,8,7,Cook
4,5,4,4,6,8,5,1,Cook
4,7,4,1,5,4,5,9,Other
4,4,4,4,4,7,5,3,Other
5,7,4,4,7,12,3,1,Cook
6,6,6,5,6,6,5,5,Other
5,6,4,5,5,3,8,7,Cook
7,7,7,3,6,5,8,8,DuPage
7,2,7,7,7,6,5,9,Cook
7,7,7,2,7,4,5,5,Cook
5,7,2,1,6,6,6,6,Cook
5,5,4,4,6,4,5,4,Cook
6,6,6,3,2,5,3,7,DuPage
4,4,4,4,4,2,4,1,Chicago
5,4,5,2,4,7,8,3,Cook
5,2,3,2,2,5,2,1,Other
5,3,4,2,2,6,5,1,Cook
6,6,4,2,3,4,3,7,DuPage
5,6,5,6,5,2,5,4,Cook
7,7,7,4,2,5,6,6,Lake
4,7,1,2,3,4,6,8,Cook
7,7,4,3,1,7,8,4,Other
4,6,4,3,3,6,4,3,Cook
4,3,4,2,3,6,5,3,Other
4,4,4,4,4,4,3,5,DuPage
6,6,6,4,4,8,4,7,Cook
7,7,7,4,7,8,3,2,Cook
7,7,6,6,4,12,7,9,Cook
4,4,4,4,4,5,4,2,Other
6,7,5,2,2,5,8,10,Other
7,7,1,7,7,NA,NA,1,Cook
7,6,7,7,6,12,7,4,DuPage
6,6,6,3,3,5,6,4,Cook
7,4,7,4,4,7,5,2,Lake
6,6,6,3,2,5,5,4,Other
4,3,3,3,3,12,1,2,Cook
5,6,4,4,6,8,5,4,Other
7,7,2,7,6,10,6,6,Other
4,7,4,4,4,5,3,2,Lake
6,6,6,2,2,11,5,3,Cook
7,7,7,1,6,5,4,9,Cook
6,7,4,7,1,6,6,4,Cook
6,4,5,4,6,5,8,3,Chicago
5,6,4,2,1,12,3,3,Cook
5,7,6,2,4,4,6,6,Cook
