attitude,planning,parents,goodval,getto,age,educ,income,cnty
6,3,6,2,5,7,6,2,Lake
4,7,4,4,1,6,4,8,Other
1,1,1,1,1,4,3,3,Cook
6,7,4,3,1,8,3,4,Other
6,6,6,2,2,7,7,10,Other
4,6,3,3,2,3,2,2,Other
6,5,5,3,6,3,7,3,Lake
6,6,6,2,2,4,6,6,Cook
4,2,1,4,3,11,3,2,Other
6,7,4,4,4,7,3,8,Cook
6,6,6,6,4,4,6,7,Cook
5,7,7,4,1,4,5,2,Other
6,6,4,6,5,10,8,6,Cook
5,5,5,4,4,4,5,6,DuPage
6,2,2,2,2,6,5,6,Cook
5,6,7,3,1,3,4,1,Other
7,7,3,6,7,5,6,3,Other
6,7,7,1,5,6,6,8,DuPage
6,6,6,2,2,6,5,4,Lake
4,6,4,3,4,6,3,2,Other
6,4,5,3,5,2,5,5,Other
5,6,3,3,5,7,7,8,Cook
6,7,7,2,2,12,8,9,Cook
6,6,4,6,6,4,6,5,Cook
6,7,6,3,6,2,5,6,Other
6,7,6,6,5,5,3,7,Cook
4,3,5,5,5,2,5,1,Cook
6,6,4,3,6,7,6,6,DuPage
5,7,4,1,3,12,5,3,Cook
5,4,4,4,4,4,8,3,Other
4,4,4,4,4,3,3,2,Cook
6,5,6,6,7,3,4,5,Other
5,5,4,5,3,5,3,4,Other
6,6,4,1,6,4,5,3,Other
7,7,3,5,3,6,5,5,Other
4,1,1,1,1,12,3,2,Other
5,5,5,2,2,3,3,5,Cook
7,5,7,3,3,10,4,5,Cook
5,6,5,4,5,6,7,6,Other
6,7,1,1,2,9,5,2,DuPage
5,5,1,1,5,6,3,3,Cook
6,3,6,4,6,3,8,5,Chicago
5,5,4,5,5,4,6,12,Cook
6,5,4,3,5,4,3,1,Other
4,4,4,4,5,11,7,10,Other
6,6,7,2,2,4,6,10,Cook
6,6,5,2,2,8,8,3,DuPage
6,6,6,3,5,6,5,2,DuPage
6,6,4,2,4,8,5,7,DuPage
4,4,4,4,4,12,3,2,Other
4,4,4,4,4,7,2,5,Cook
4,4,4,4,4,7,7,5,Cook
4,6,6,6,6,5,3,1,Cook
7,5,7,6,3,12,2,3,Other
4,4,4,4,4,10,3,2,Other
6,7,6,2,7,3,7,3,Chicago
4,5,4,4,3,6,3,8,Other
4,4,4,4,4,3,5,3,Other
5,6,4,2,5,4,6,4,Cook
4,7,1,7,1,7,6,6,Other
6,5,6,4,4,4,7,8,DuPage
4,7,4,4,7,3,5,4,Other
4,4,5,4,4,5,3,6,Other
6,7,4,4,4,5,3,1,Cook
6,6,6,3,2,2,7,11,Lake
2,2,4,4,7,5,3,3,Other
7,3,7,7,7,2,5,1,DuPage
5,6,6,3,4,6,6,9,Lake
7,7,4,2,3,6,8,6,Other
7,5,7,2,4,9,3,3,Cook
2,4,1,1,3,3,3,2,Other
5,7,7,4,4,6,5,3,DuPage
4,4,4,3,4,8,4,10,Cook
7,6,4,7,7,9,3,6,Cook
7,7,6,6,6,8,8,12,DuPage
4,6,4,1,2,8,6,2,DuPage
4,6,4,3,6,4,5,7,Cook
6,7,1,1,2,6,3,5,Other
6,6,4,3,5,1,5,10,Cook
6,7,7,5,3,10,5,5,DuPage
5,5,4,4,4,3,3,1,Cook
5,6,7,2,2,3,3,4,Cook
6,3,6,7,7,8,5,5,Other
7,6,6,3,4,5,6,4,DuPage
6,4,4,3,2,4,8,12,Cook
7,7,7,1,1,9,5,10,Cook
5,5,5,4,4,3,7,4,Cook
7,7,4,2,6,7,6,8,Cook
5,7,4,6,5,8,3,12,Cook
1,4,4,1,7,5,4,7,DuPage
5,5,7,3,5,4,5,7,Cook
6,4,6,4,6,9,7,10,DuPage
2,4,1,1,4,5,4,3,Cook
4,6,4,3,3,6,6,7,DuPage
1,7,1,1,1,3,5,10,Cook
5,3,4,5,5,3,8,8,Cook
5,6,2,3,3,3,7,5,Other
4,6,4,3,2,6,5,3,Cook
6,7,6,4,5,7,8,7,Other
5,6,4,4,5,11,6,5,Other
5,5,4,4,4,5,6,3,Cook
6,7,4,1,1,4,5,1,Other
6,6,6,3,2,5,6,8,Cook
5,7,7,2,6,6,7,6,Cook
7,6,7,3,2,4,6,2,Cook
5,7,4,1,7,8,5,12,Chicago
7,7,2,3,7,4,5,4,Cook
5,6,5,5,6,6,3,5,Other
7,7,4,2,6,4,5,4,DuPage
5,6,4,4,5,12,3,3,DuPage
4,4,4,4,4,12,7,3,DuPage
6,6,5,6,1,12,6,3,DuPage
6,6,5,5,5,12,6,4,Cook
3,4,4,1,4,5,4,5,Cook
6,7,5,1,6,6,4,5,Cook
7,4,7,6,7,7,5,11,Cook
5,7,7,3,3,4,5,6,Cook
4,4,4,3,5,12,4,1,Cook
5,5,4,2,3,3,5,4,Cook
4,6,5,4,5,7,5,8,Cook
4,6,6,6,6,6,5,12,DuPage
7,1,1,1,1,6,4,11,Cook
5,5,4,2,5,3,4,5,Other
4,4,7,4,4,12,6,8,Cook
5,5,4,2,1,12,4,2,Other
7,7,6,7,6,11,7,12,Cook
4,4,4,4,4,5,5,10,Cook
4,4,4,4,4,12,3,2,Cook
7,7,7,2,5,4,8,9,Cook
5,5,5,4,4,10,8,7,Cook
7,7,4,1,5,10,6,2,Cook
5,6,5,4,2,7,8,12,Cook
4,5,3,1,2,5,4,12,Cook
4,4,4,4,4,10,2,2,Cook
5,6,4,3,5,8,8,4,Cook
6,7,7,7,7,12,5,2,Cook
6,6,6,6,6,4,4,6,Cook
5,6,6,6,4,7,2,6,Lake
6,6,6,6,6,9,6,12,Cook
4,7,7,4,4,12,4,1,Cook
6,7,4,1,4,12,4,1,DuPage
6,7,7,4,6,3,7,8,DuPage
2,6,3,2,6,2,5,12,Chicago
5,4,5,4,5,7,7,6,DuPage
6,6,1,2,2,3,6,3,Lake
5,4,4,5,3,12,5,4,Lake
3,4,4,3,3,12,1,1,Cook
4,5,4,4,3,5,4,1,Other
5,4,2,4,2,8,7,5,Other
7,7,4,4,4,5,6,3,Cook
5,5,4,3,5,5,8,5,Cook
6,7,7,3,4,6,7,11,Cook
5,7,1,6,7,4,4,5,Cook
4,4,4,4,4,7,3,2,Cook
6,6,5,6,3,9,7,10,Other
7,7,7,1,4,2,5,9,Other
6,6,6,3,6,6,5,7,DuPage
7,7,7,2,3,6,7,4,DuPage
4,6,2,1,4,7,5,7,DuPage
7,6,1,6,7,7,5,4,Cook
7,7,4,4,4,4,5,5,Other
6,6,7,3,5,5,6,8,DuPage
7,7,1,7,1,11,8,12,Other
6,5,7,3,6,5,6,11,Chicago
7,4,7,3,3,7,4,5,Lake
5,4,6,4,4,12,8,12,Lake
4,4,5,4,3,8,5,2,Other
6,7,7,4,1,4,3,8,Cook
4,4,4,4,4,7,4,5,Cook
5,5,7,3,4,5,5,5,Cook
7,7,7,7,2,5,3,6,Cook
4,3,4,4,4,12,5,3,Cook
6,5,1,3,6,8,6,6,Cook
6,2,6,7,7,5,8,8,Cook
2,4,4,4,1,6,2,7,Other
5,2,4,3,5,8,NA,3,Cook
7,7,7,2,4,5,6,9,DuPage
2,4,4,4,4,11,3,2,Cook
7,7,7,7,7,4,5,6,Cook
6,5,5,5,5,7,5,4,Other
6,7,3,6,6,7,3,4,Chicago
4,6,7,2,4,2,5,2,DuPage
7,7,7,7,7,NA,8,7,Other
6,6,6,3,6,7,6,9,Other
5,6,5,3,3,7,8,10,Other
7,7,7,1,7,5,4,4,Other
6,6,6,5,1,9,5,5,Other
7,6,1,4,3,6,3,4,Other
7,4,4,5,4,3,5,9,Cook
5,6,4,5,5,8,3,5,Other
5,5,4,5,3,7,3,8,DuPage
5,6,4,4,6,NA,NA,1,Chicago
6,6,7,2,2,5,8,10,DuPage
7,7,7,2,2,10,5,3,Cook
5,4,5,2,3,12,2,3,Cook
7,7,7,4,1,11,4,3,Other
2,4,4,4,4,8,3,3,DuPage
6,7,7,4,5,8,5,6,Other
5,1,7,5,7,6,3,11,Cook
6,4,4,7,7,10,6,7,DuPage
6,7,6,1,4,5,5,6,Other
3,7,6,2,2,5,8,6,Cook
5,6,4,6,6,6,7,7,Cook
6,6,4,4,2,5,8,1,Cook
4,7,4,4,4,6,5,12,Cook
7,7,7,7,7,10,3,2,Other
4,3,4,2,2,10,5,5,Other
6,6,2,6,6,8,7,6,Other
7,6,6,6,7,4,6,7,Cook
5,6,5,3,5,12,5,5,Cook
6,6,6,3,5,4,5,5,DuPage
7,6,6,6,4,12,5,2,DuPage
6,7,4,5,2,7,6,5,Cook
4,6,6,1,3,6,8,3,Chicago
5,6,4,5,4,9,6,10,Other
5,5,4,4,3,4,6,6,Cook
5,7,6,5,3,6,5,8,Cook
7,6,7,2,5,3,6,4,DuPage
7,7,6,2,1,6,3,5,Other
5,7,7,1,4,10,5,4,Cook
5,7,4,2,1,7,8,7,Cook
5,7,4,1,2,5,6,12,DuPage
4,4,4,4,4,9,5,4,Other
6,5,4,2,4,6,8,5,Lake
6,6,4,3,3,7,6,5,Cook
7,7,4,7,7,4,6,5,Cook
6,2,6,3,7,4,6,6,Cook
7,6,6,6,5,10,8,6,Lake
6,6,4,3,4,11,3,6,DuPage
6,7,4,2,6,9,8,12,Cook
5,4,4,6,6,10,5,9,Cook
7,4,7,6,6,5,6,4,DuPage
5,6,4,4,4,10,5,3,Other
3,7,3,4,4,4,3,3,Other
6,7,4,6,6,10,8,11,Chicago
6,7,7,4,7,9,3,6,DuPage
4,4,4,4,4,5,2,3,DuPage
3,7,3,1,5,3,7,7,Chicago
5,7,2,1,1,5,3,6,Other
7,6,5,2,4,8,6,2,Chicago
6,7,4,2,6,11,3,3,Lake
4,4,4,4,4,6,8,3,Cook
4,4,4,6,4,9,5,8,Other
6,7,4,2,4,12,4,4,Cook
7,7,6,4,6,6,5,9,DuPage
4,5,4,5,4,2,6,5,Cook
6,7,7,1,6,10,NA,5,Other
6,5,6,4,5,5,8,3,Cook
6,5,6,3,5,4,6,2,Other
7,7,7,7,2,6,6,3,Lake
6,4,1,4,2,7,8,8,Cook
5,6,1,4,4,12,6,3,Cook
5,6,3,4,4,3,4,8,Other
6,7,4,1,1,5,3,1,Lake
7,5,5,7,6,9,8,12,Cook
4,1,4,4,2,12,7,2,Cook
6,6,4,4,2,6,7,9,Other
7,7,4,4,1,9,5,5,Cook
6,7,4,1,7,5,3,5,Cook
4,4,4,4,4,2,5,1,Other
5,4,1,3,5,6,5,5,Other
4,6,4,4,4,12,1,1,Other
6,7,4,4,2,4,7,3,Cook
5,2,6,3,6,10,3,3,Other
5,4,7,4,1,5,8,8,DuPage
4,4,4,4,4,3,3,5,Cook
6,4,4,6,7,8,5,10,DuPage
6,6,4,1,7,7,8,3,Cook
6,4,6,5,6,4,6,6,DuPage
6,7,7,2,3,4,6,9,Cook
5,6,3,4,4,8,7,12,Lake
5,7,4,3,6,7,3,7,Cook
6,7,1,6,1,10,2,5,Cook
4,4,4,4,7,6,6,11,DuPage
4,4,4,4,4,9,1,5,Other
5,7,6,2,2,3,3,4,Other
6,7,1,2,5,4,4,5,Other
7,5,7,4,6,3,5,4,Cook
4,4,4,3,3,3,5,5,Lake
7,5,7,7,7,6,4,4,Cook
7,7,1,3,7,12,4,1,Cook
7,1,7,6,7,8,5,3,Cook
7,6,1,2,7,8,5,4,Chicago
4,6,4,4,4,6,7,1,Cook
6,7,4,2,4,6,6,7,Lake
7,7,7,2,2,12,5,4,Cook
5,7,7,1,7,11,6,7,Cook
6,6,6,1,3,5,5,5,DuPage
7,7,4,4,6,12,7,3,Cook
3,5,4,1,5,10,5,3,Cook
5,6,2,3,2,2,4,5,Other
6,1,7,7,7,2,NA,9,Cook
4,4,4,3,4,5,3,3,Cook
7,4,7,3,4,3,6,3,Lake
4,4,4,4,4,5,6,8,Cook
7,7,7,2,7,5,7,7,Cook
6,7,7,5,6,3,7,8,Chicago
3,4,1,4,4,12,8,12,Cook
6,6,4,3,2,7,5,9,Cook
2,4,4,4,3,5,4,5,Cook
6,6,5,1,6,5,6,9,Lake
5,6,4,5,6,6,5,6,Other
6,7,7,1,1,6,8,3,Cook
6,6,4,4,6,7,8,12,Other
4,6,4,2,2,5,8,5,Other
4,4,4,4,4,9,5,3,Other
5,6,4,3,5,3,8,7,Other
5,6,4,4,4,6,4,6,Other
5,5,2,3,6,3,6,10,Other
5,6,2,5,3,8,8,1,Other
6,7,6,3,3,5,5,12,Cook
5,5,5,4,4,8,6,7,Cook
5,3,6,3,5,9,6,6,Other
5,6,4,5,6,8,6,4,Other
6,1,7,7,6,12,4,10,Other
7,7,7,7,7,NA,5,5,Chicago
4,4,4,4,4,12,3,2,Cook
5,7,4,1,3,10,3,2,Cook
7,7,7,1,4,6,6,8,Other
7,7,7,1,4,6,5,10,Cook
7,7,4,4,4,6,5,4,Cook
6,7,4,1,1,7,6,9,Lake
4,5,4,3,4,5,6,1,DuPage
5,7,7,5,6,8,5,11,DuPage
7,7,7,7,4,7,8,10,Other
3,6,4,3,2,1,2,9,Cook
4,4,4,2,6,7,5,2,Cook
6,7,6,4,4,6,5,7,Cook
3,4,4,7,7,2,3,7,Lake
4,5,5,3,3,2,5,7,Other
4,4,4,4,3,5,3,8,Other
3,6,2,4,2,8,5,3,Other
4,6,6,1,2,5,5,7,Cook
4,7,4,1,7,12,3,2,Cook
6,7,7,4,7,3,7,4,Chicago
4,4,4,4,4,4,6,7,Other
6,4,7,4,7,5,5,3,Cook
6,4,6,4,6,5,5,9,Cook
7,7,7,7,7,6,5,2,Cook
7,5,5,4,3,8,5,5,Cook
6,6,7,4,4,3,6,6,Other
4,4,4,4,4,7,7,7,Other
6,4,2,4,4,9,3,1,Other
4,7,4,2,1,8,6,8,Other
7,1,7,7,7,9,3,5,DuPage
7,7,7,1,1,12,6,2,DuPage
6,7,7,2,3,4,6,7,DuPage
6,5,4,6,2,7,8,10,Lake
6,4,1,3,5,12,6,1,Cook
3,4,1,4,4,7,6,4,Other
7,6,7,4,6,2,6,10,Other
6,5,4,4,6,8,3,2,Other
7,7,4,4,7,9,8,6,Cook
4,6,2,1,4,10,4,4,Cook
5,5,4,4,4,2,6,5,Cook
6,6,6,3,6,6,7,9,Cook
7,7,7,7,7,1,3,1,Cook
4,6,4,3,4,8,8,5,Other
3,7,5,2,7,3,5,1,Chicago
6,7,4,4,6,6,7,9,Lake
5,7,7,3,6,4,5,4,Cook
7,7,4,1,1,11,3,3,DuPage
7,5,4,6,6,11,8,10,Cook
4,4,4,4,4,7,3,5,Cook
7,7,7,7,7,NA,8,12,Cook
4,4,1,2,1,1,3,1,Other
4,4,4,4,4,4,6,5,Cook
3,7,5,4,3,3,6,5,DuPage
7,7,4,1,1,3,3,5,DuPage
2,7,4,3,4,4,6,5,Other
6,6,4,1,6,8,5,3,Other
6,2,7,7,6,2,5,7,Other
6,7,4,2,4,7,8,5,Cook
4,4,4,4,4,11,7,6,Other
5,6,4,3,4,6,8,6,Other
6,6,6,2,4,8,5,6,Lake
5,5,4,4,4,8,5,5,Cook
5,7,7,1,4,9,3,2,Cook
5,7,4,4,4,11,5,6,Other
6,7,4,7,7,6,5,6,Cook
4,3,4,4,3,7,3,5,Other
5,5,5,4,6,3,6,2,Chicago
5,3,5,6,3,6,2,1,Chicago
6,2,2,6,6,6,7,1,Chicago
5,7,2,6,4,3,2,3,DuPage
7,7,4,6,7,8,3,6,Other
4,3,4,4,4,6,5,5,DuPage
4,6,4,1,2,10,7,8,DuPage
4,4,4,4,4,11,5,2,Other
6,6,5,4,1,3,5,12,Other
5,5,4,4,4,6,6,2,Lake
5,5,4,4,2,2,3,1,Lake
5,5,4,4,4,5,5,3,Other
6,6,4,6,4,7,5,5,Lake
7,4,7,1,1,4,4,4,Lake
5,4,4,4,4,12,1,1,Lake
5,7,4,3,4,4,6,4,Lake
7,7,5,2,7,12,7,1,Cook
4,4,4,4,4,6,7,5,Cook
5,6,7,5,4,7,5,3,Other
5,5,5,5,4,10,5,5,Cook
6,6,7,3,6,8,7,5,Cook
4,4,6,4,4,7,5,3,Cook
7,1,7,7,7,8,4,7,Cook
4,6,3,3,2,8,6,12,DuPage
4,5,3,3,5,7,5,5,Other
5,5,4,5,4,4,6,4,Cook
5,5,6,5,3,9,8,12,Cook
4,4,4,4,4,12,4,2,Other
5,6,5,4,4,6,3,5,DuPage
5,3,4,5,5,10,2,4,Other
6,6,6,3,4,4,6,12,Cook
7,7,6,5,6,10,8,12,Chicago
5,5,5,4,6,10,8,5,Cook
5,4,4,1,2,7,4,2,Other
7,7,7,3,2,4,8,3,Other
4,3,1,3,3,1,3,6,Other
5,6,4,5,4,8,5,8,Cook
6,5,6,4,5,7,6,12,DuPage
6,7,7,2,3,5,7,1,DuPage
6,6,7,5,5,7,5,5,Cook
3,1,4,4,7,9,3,3,Lake
6,7,6,4,3,7,7,9,Lake
4,1,1,1,1,4,8,12,Cook
7,7,7,7,7,10,2,3,Chicago
7,7,6,3,6,3,8,7,DuPage
4,4,4,4,4,6,5,6,Chicago
2,7,6,3,4,2,6,11,Lake
4,7,4,3,7,4,5,8,Cook
6,7,6,1,5,3,7,10,DuPage
7,6,6,1,4,7,5,4,DuPage
6,6,6,3,4,5,5,1,DuPage
4,4,4,4,4,12,3,1,Cook
5,6,4,4,6,10,3,2,Cook
5,5,3,4,6,7,6,4,Other
5,7,2,1,5,9,7,4,Other
6,6,4,2,6,9,6,6,Cook
5,6,4,4,5,3,4,4,DuPage
7,7,7,1,1,3,5,3,Other
4,4,4,3,5,6,5,11,DuPage
3,5,4,1,3,8,3,2,DuPage
4,6,4,4,3,7,6,11,DuPage
6,7,1,1,7,6,5,8,DuPage
4,5,6,2,3,5,5,3,Other
6,7,6,6,4,2,6,5,Chicago
4,4,4,2,4,11,5,3,Cook
5,6,6,5,2,6,6,7,DuPage
4,4,4,4,4,4,3,2,Other
3,7,7,4,1,4,5,1,DuPage
7,6,7,5,6,3,8,7,Cook
4,6,6,4,4,12,3,2,Cook
6,6,4,3,3,5,8,4,Cook
4,5,4,3,6,4,3,5,Chicago
7,4,5,5,5,2,5,1,Other
5,2,4,4,4,3,3,4,Chicago
6,7,4,1,1,6,8,8,Other
4,4,4,4,4,6,5,8,Chicago
6,2,4,5,4,3,3,2,Cook
6,6,4,4,6,10,6,12,Cook
6,7,4,4,4,3,3,1,Cook
6,6,6,3,2,1,3,9,Other
5,6,6,4,2,6,5,1,Other
4,4,4,4,4,10,6,11,Chicago
7,7,7,2,3,12,5,6,Cook
2,4,3,4,4,6,5,9,Lake
6,4,7,4,4,1,5,7,Cook
4,4,4,4,4,8,6,5,Cook
6,7,6,6,5,9,3,2,Chicago
6,5,6,2,7,4,5,4,Chicago
5,5,7,3,5,7,7,6,Other
6,6,5,2,2,3,6,4,DuPage
7,7,5,4,4,9,6,8,Chicago
6,7,5,7,5,5,4,8,Cook
6,3,3,6,4,7,5,3,Cook
5,4,5,5,7,7,8,12,Chicago
7,7,7,1,2,4,6,6,Cook
7,7,4,4,1,8,7,9,Other
6,5,4,6,6,3,3,2,Cook
5,6,4,5,5,4,6,9,Lake
1,7,7,1,1,2,2,1,Other
5,4,6,7,4,2,3,1,Other
4,1,1,1,1,7,5,2,Cook
7,7,5,5,6,6,5,1,DuPage
7,7,4,4,7,4,5,3,Cook
6,6,6,5,5,2,5,1,Other
6,7,7,2,2,3,7,2,Other
7,7,7,4,7,7,5,1,DuPage
7,7,5,3,3,6,3,8,Other
6,7,6,3,2,6,5,4,Other
4,4,4,4,4,5,5,1,DuPage
4,4,4,4,4,4,2,2,Lake
5,6,6,3,2,8,6,12,DuPage
7,6,4,2,2,12,4,6,Lake
6,7,6,2,6,5,5,3,Lake
6,6,5,4,2,3,8,8,DuPage
5,5,5,4,5,2,6,5,Cook
6,6,4,3,2,4,6,5,Other
6,6,7,6,4,2,6,12,DuPage
2,7,1,1,1,6,7,3,DuPage
6,4,4,4,4,6,5,5,Lake
1,4,4,1,1,3,4,5,Cook
7,6,4,6,6,7,8,9,DuPage
4,4,4,4,5,5,5,3,Cook
6,7,1,7,7,5,5,3,Cook
4,2,4,2,3,7,5,4,DuPage
4,5,5,5,4,9,8,10,Cook
6,7,4,3,5,3,5,1,Cook
5,5,2,2,2,10,5,5,Cook
6,3,4,4,6,10,3,8,DuPage
5,5,3,4,4,8,6,3,Other
4,6,6,2,4,3,8,9,Chicago
2,1,1,1,1,7,3,1,Cook
4,4,4,4,4,8,4,12,Other
3,2,4,3,6,3,3,5,Cook
6,7,6,3,3,4,8,5,Other
3,7,6,3,6,5,4,5,Other
6,2,4,6,6,4,5,2,DuPage
4,4,4,4,4,9,3,6,Cook
5,5,4,2,4,3,3,5,Cook
5,6,4,6,6,2,4,2,DuPage
5,5,5,3,3,8,6,6,Other
7,7,7,3,6,7,3,6,Other
5,6,5,3,5,7,6,5,Other
4,4,4,4,4,4,6,7,Lake
6,6,3,3,5,8,8,7,Cook
6,6,7,3,6,3,5,5,DuPage
5,3,6,4,5,5,6,11,Lake
7,7,4,3,3,12,3,1,Chicago
3,7,3,2,1,6,6,12,DuPage
5,4,4,2,1,4,5,4,Lake
6,7,4,4,5,4,5,4,Cook
4,4,4,4,4,7,5,4,Chicago
5,2,7,7,7,4,7,12,Lake
7,7,7,5,6,8,5,2,Lake
5,5,1,4,5,5,4,3,Cook
4,4,4,4,4,12,8,2,Cook
6,5,6,4,5,4,6,11,Cook
6,6,4,2,6,7,3,3,Other
5,6,2,5,4,7,6,11,Other
5,3,4,4,4,4,5,10,Other
7,7,4,6,3,3,6,12,Other
6,5,5,4,4,5,6,11,Other
4,4,4,4,4,6,6,12,Chicago
6,3,6,6,6,5,6,4,Other
4,4,4,4,4,7,4,4,Cook
6,7,6,1,1,4,7,2,Lake
5,4,4,3,3,6,3,4,Cook
4,4,4,4,4,6,7,5,Cook
6,6,5,5,7,8,6,5,DuPage
6,4,1,3,6,7,8,8,Chicago
5,7,3,5,4,10,3,2,Other
5,4,4,4,6,12,8,9,Cook
5,7,7,4,4,11,5,2,Cook
